gutenberg_id,text,stave
19337,STAVE ONE,1
19337,,1
19337,MARLEY'S GHOST,1
19337,,1
19337,,1
19337,"Marley was dead, to begin with. There is no doubt whatever about that.",1
19337,"The register of his burial was signed by the clergyman, the clerk, the",1
19337,"undertaker, and the chief mourner. Scrooge signed it. And Scrooge's name",1
19337,was good upon 'Change for anything he chose to put his hand to. Old,1
19337,Marley was as dead as a door-nail.,1
19337,,1
19337,"Mind! I don't mean to say that I know, of my own knowledge, what there",1
19337,"is particularly dead about a door-nail. I might have been inclined,",1
19337,"myself, to regard a coffin-nail as the deadest piece of ironmongery in",1
19337,the trade. But the wisdom of our ancestors is in the simile; and my,1
19337,"unhallowed hands shall not disturb it, or the Country's done for. You",1
19337,"will, therefore, permit me to repeat, emphatically, that Marley was as",1
19337,dead as a door-nail.,1
19337,,1
19337,Scrooge knew he was dead? Of course he did. How could it be otherwise?,1
19337,Scrooge and he were partners for I don't know how many years. Scrooge,1
19337,"was his sole executor, his sole administrator, his sole assign, his",1
19337,"sole residuary legatee, his sole friend, and sole mourner. And even",1
19337,"Scrooge was not so dreadfully cut up by the sad event, but that he was",1
19337,"an excellent man of business on the very day of the funeral, and",1
19337,solemnised it with an undoubted bargain.,1
19337,,1
19337,The mention of Marley's funeral brings me back to the point I started,1
19337,from. There is no doubt that Marley was dead. This must be distinctly,1
19337,"understood, or nothing wonderful can come of the story I am going to",1
19337,relate. If we were not perfectly convinced that Hamlet's Father died,1
19337,"before the play began, there would be nothing more remarkable in his",1
19337,"taking a stroll at night, in an easterly wind, upon his own ramparts,",1
19337,than there would be in any other middle-aged gentleman rashly turning,1
19337,"out after dark in a breezy spot--say St. Paul's Church-yard, for",1
19337,instance--literally to astonish his son's weak mind.,1
19337,,1
19337,"Scrooge never painted out Old Marley's name. There it stood, years",1
19337,"afterwards, above the warehouse door: Scrooge and Marley. The firm was",1
19337,known as Scrooge and Marley. Sometimes people new to the business called,1
19337,"Scrooge Scrooge, and sometimes Marley, but he answered to both names. It",1
19337,was all the same to him.,1
19337,,1
19337,"Oh! but he was a tight-fisted hand at the grindstone, Scrooge! a",1
19337,"squeezing, wrenching, grasping, scraping, clutching, covetous, old",1
19337,"sinner! Hard and sharp as flint, from which no steel had ever struck out",1
19337,"generous fire; secret, and self-contained, and solitary as an oyster.",1
19337,"The cold within him froze his old features, nipped his pointed nose,",1
19337,"shrivelled his cheek, stiffened his gait; made his eyes red, his thin",1
19337,lips blue; and spoke out shrewdly in his grating voice. A frosty rime,1
19337,"was on his head, and on his eyebrows, and his wiry chin. He carried his",1
19337,own low temperature always about with him; he iced his office in the,1
19337,dog-days; and didn't thaw it one degree at Christmas.,1
19337,,1
19337,External heat and cold had little influence on Scrooge. No warmth could,1
19337,"warm, no wintry weather chill him. No wind that blew was bitterer than",1
19337,"he, no falling snow was more intent upon its purpose, no pelting rain",1
19337,less open to entreaty. Foul weather didn't know where to have him. The,1
19337,"heaviest rain, and snow, and hail, and sleet could boast of the",1
19337,"advantage over him in only one respect. They often ""came down""",1
19337,handsomely and Scrooge never did.,1
19337,,1
19337,"Nobody ever stopped him in the street to say, with gladsome looks, ""My",1
19337,"dear Scrooge, how are you? When will you come to see me?"" No beggars",1
19337,"implored him to bestow a trifle, no children asked him what it was",1
19337,"o'clock, no man or woman ever once in all his life inquired the way to",1
19337,"such and such a place, of Scrooge. Even the blind men's dogs appeared to",1
19337,"know him; and, when they saw him coming on, would tug their owners into",1
19337,doorways and up courts; and then would wag their tails as though they,1
19337,"said, ""No eye at all is better than an evil eye, dark master!""",1
19337,,1
19337,But what did Scrooge care? It was the very thing he liked. To edge his,1
19337,"way along the crowded paths of life, warning all human sympathy to keep",1
19337,"its distance, was what the knowing ones call ""nuts"" to Scrooge.",1
19337,,1
19337,"Once upon a time--of all the good days in the year, on Christmas",1
19337,"Eve--old Scrooge sat busy in his counting-house. It was cold, bleak,",1
19337,biting weather: foggy withal: and he could hear the people in the court,1
19337,"outside go wheezing up and down, beating their hands upon their breasts,",1
19337,and stamping their feet upon the pavement stones to warm them. The City,1
19337,"clocks had only just gone three, but it was quite dark already--it had",1
19337,not been light all day--and candles were flaring in the windows of the,1
19337,"neighbouring offices, like ruddy smears upon the palpable brown air. The",1
19337,"fog came pouring in at every chink and keyhole, and was so dense",1
19337,"without, that, although the court was of the narrowest, the houses",1
19337,"opposite were mere phantoms. To see the dingy cloud come drooping down,",1
19337,"obscuring everything, one might have thought that nature lived hard by",1
19337,and was brewing on a large scale.,1
19337,,1
19337,"The door of Scrooge's counting-house was open, that he might keep his",1
19337,"eye upon his clerk, who in a dismal little cell beyond, a sort of tank,",1
19337,"was copying letters. Scrooge had a very small fire, but the clerk's fire",1
19337,was so very much smaller that it looked like one coal. But he couldn't,1
19337,"replenish it, for Scrooge kept the coal-box in his own room; and so",1
19337,"surely as the clerk came in with the shovel, the master predicted that",1
19337,it would be necessary for them to part. Wherefore the clerk put on his,1
19337,"white comforter, and tried to warm himself at the candle; in which",1
19337,"effort, not being a man of strong imagination, he failed.",1
19337,,1
19337,"""A merry Christmas, uncle! God save you!"" cried a cheerful voice. It was",1
19337,"the voice of Scrooge's nephew, who came upon him so quickly that this",1
19337,was the first intimation he had of his approach.,1
19337,,1
19337,"""Bah!"" said Scrooge. ""Humbug!""",1
19337,,1
19337,"He had so heated himself with rapid walking in the fog and frost, this",1
19337,"nephew of Scrooge's, that he was all in a glow; his face was ruddy and",1
19337,"handsome; his eyes sparkled, and his breath smoked again.",1
19337,,1
19337,"""Christmas a humbug, uncle!"" said Scrooge's nephew. ""You don't mean",1
19337,"that, I am sure?""",1
19337,,1
19337,"""I do,"" said Scrooge. ""Merry Christmas! What right have you to be merry?",1
19337,"What reason have you to be merry? You're poor enough.""",1
19337,,1
19337,"""Come, then,"" returned the nephew gaily. ""What right have you to be",1
19337,"dismal? What reason have you to be morose? You're rich enough.""",1
19337,,1
19337,"Scrooge, having no better answer ready on the spur of the moment, said,",1
19337,"""Bah!"" again; and followed it up with ""Humbug!""",1
19337,,1
19337,"""Don't be cross, uncle!"" said the nephew.",1
19337,,1
19337,"[Illustration: _""A Merry Christmas, uncle! God save you!"" cried a",1
19337,cheerful voice._],1
19337,,1
19337,"""What else can I be,"" returned the uncle, ""when I live in such a world",1
19337,of fools as this? Merry Christmas! Out upon merry Christmas! What's,1
19337,Christmas-time to you but a time for paying bills without money; a time,1
19337,"for finding yourself a year older, and not an hour richer; a time for",1
19337,"balancing your books, and having every item in 'em through a round dozen",1
19337,"of months presented dead against you? If I could work my will,"" said",1
19337,"Scrooge indignantly, ""every idiot who goes about with 'Merry Christmas'",1
19337,"on his lips should be boiled with his own pudding, and buried with a",1
19337,"stake of holly through his heart. He should!""",1
19337,,1
19337,"""Uncle!"" pleaded the nephew.",1
19337,,1
19337,"""Nephew!"" returned the uncle sternly, ""keep Christmas in your own way,",1
19337,"and let me keep it in mine.""",1
19337,,1
19337,"""Keep it!"" repeated Scrooge's nephew. ""But you don't keep it.""",1
19337,,1
19337,"""Let me leave it alone, then,"" said Scrooge. ""Much good may it do you!",1
